
=== QU_NC ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
4501,499,506.05,506.05,2024.2,0.10121,0.10121,0.40484
4001,999,1049.75,1049.75,4199,0.20995,0.20995,0.8398
3501,1499,1672,1672,6688,0.3344,0.3344,1.3376
3001,2000,2434.65,2434.65,9738.6,0.48693,0.48693,1.94772
2501,2500,3548.5,3548.5,14194,0.7097,0.7097,2.8388
2001,3021,4985.25,4985.25,19941,0.99705,0.99705,3.9882
1501,3648,5541.35,5541.35,22165.4,1.10827,1.10827,4.43308
1001,4541,5678.35,5678.35,22713.4,1.13567,1.13567,4.54268
501,6080,5514,5514,22056,1.1028,1.1028,4.4112
1,22984,5001.3,5001.3,20005.2,1.00026,1.00026,4.00104

=== UR_PS ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
4501,499,506.05,7.05,520.15,0.10121,0.00141,0.10403
4001,999,1049.75,50.65,1151.05,0.20995,0.01013,0.23021
3501,1499,1672.15,168.7,2009.55,0.33443,0.03374,0.40191
3001,2000,2437.45,406.5,3250.45,0.48749,0.0813,0.65009
2501,2500,3569.5,881.95,5333.4,0.7139,0.17639,1.06668
2001,3021,5075.65,1629.7,8335.05,1.01513,0.32594,1.66701
1501,3648,5694.65,1867.2,9429.05,1.13893,0.37344,1.88581
1001,4541,5847.1,1684.2,9215.5,1.16942,0.33684,1.8431
501,6080,5642,1099.9,7841.8,1.1284,0.21998,1.56836
1,22984,5001.55,2.55,5006.65,1.00031,0.00051,1.00133

=== UR_PH ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
4501,499,506.05,499,1504.05,0.10121,0.0998,0.30081
4001,999,1049.75,999.1,3047.95,0.20995,0.19982,0.60959
3501,1499,1672.5,1503.65,4679.8,0.3345,0.30073,0.93596
3001,2000,2442.45,2033.6,6509.65,0.48849,0.40672,1.30193
2501,2500,3622.45,2717.3,9057.05,0.72449,0.54346,1.81141
2001,3021,5324.95,3588.9,12502.8,1.06499,0.71778,2.50055
1501,3648,6045.45,4001.6,14048.6,1.20909,0.80032,2.80973
1001,4541,6200,4291.15,14782.3,1.24,0.85823,2.95646
501,6080,5884.2,4590.8,15065.8,1.17684,0.91816,3.01316
1,22984,5002.25,4999,15000.2,1.00045,0.9998,3.00005
