
=== QU_NC ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
5001,5000,6889.45,1583.7,10056.9,0.688945,0.15837,1.00568
4001,6043,9952.15,3143.35,16238.8,0.995215,0.314335,1.62388
3001,7298,11283.7,3686.8,18657.3,1.12837,0.36868,1.86573
2001,9062,11642.5,3352.45,18347.4,1.16425,0.335245,1.83474
1001,12124,11284.1,2198.55,15681.2,1.12841,0.219855,1.56812
1,48868,10002.3,3.3,10008.9,1.00023,0.00033,1.00089

=== UW_PH ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
9001,999,1011.8,999,3009.8,0.10118,0.0999,0.30098
8001,1999,2085.55,1999.75,6085.05,0.208555,0.199975,0.608505
7001,2999,3288.85,3006.3,9301.45,0.328885,0.30063,0.930145
6001,3999,4727.6,4042.55,12812.7,0.47276,0.404255,1.28127
5001,5000,6964.55,5346.55,17657.7,0.696455,0.534655,1.76577
4001,6043,10414.2,7080.2,24574.6,1.04142,0.70802,2.45746
3001,7298,11940.5,7921.5,27783.5,1.19405,0.79215,2.77835
2001,9062,12296.4,8526.2,29348.8,1.22964,0.85262,2.93488
1001,12124,11720.3,9168.95,30058.2,1.17203,0.916895,3.00582
1,48868,10003,9999,30001,1.0003,0.9999,3.00009

=== UR_NC ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
9001,999,1014.95,0,1014.95,0.101495,0,0.101495
8001,1999,2113.75,0,2113.75,0.211375,0,0.211375
7001,2999,3410,0,3410,0.341,0,0.341
6001,3999,5060.65,0,5060.65,0.506065,0,0.506065
5001,5000,7830.95,0,7830.95,0.783095,0,0.783095
4001,6043,12844.2,0,12844.2,1.28442,0,1.28442
3001,7298,15903.2,0,15903.2,1.59032,0,1.59032
2001,9062,18014.3,0,18014.3,1.80143,0,1.80143
1001,12124,19601.8,0,19601.8,1.96018,0,1.96018
1,48868,20798.7,0,20798.7,2.07987,0,2.07987

=== UR_FC ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
9001,999,1014.15,1014.15,4056.6,0.101415,0.101415,0.40566
8001,1999,2102.75,2102.75,8411,0.210275,0.210275,0.8411
7001,2999,3357.05,3357.05,13428.2,0.335705,0.335705,1.34282
6001,3999,4866.65,4866.65,19466.6,0.486665,0.486665,1.94666
5001,5000,7132.55,7132.55,28530.2,0.713255,0.713255,2.85302
4001,6043,9993.35,9993.35,39973.4,0.999335,0.999335,3.99734
3001,7298,11098.9,11098.9,44395.4,1.10989,1.10989,4.43954
2001,9062,11352.3,11352.3,45409.2,1.13523,1.13523,4.54092
1001,12124,11040.1,11040.1,44160.6,1.10401,1.10401,4.41606
1,48868,10001.9,10001.9,40007.4,1.00019,1.00019,4.00074

=== UR_PS ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
9001,999,1014.15,15.15,1044.45,0.101415,0.001515,0.104445
8001,1999,2102.75,103.2,2309.15,0.210275,0.01032,0.230915
7001,2999,3357.7,348.25,4054.2,0.33577,0.034825,0.40542
6001,3999,4873.15,816.2,6505.55,0.487315,0.08162,0.650555
5001,5000,7173.95,1793.05,10760,0.717395,0.179305,1.076
4001,6043,10186.5,3281.95,16750.4,1.01865,0.328195,1.67504
3001,7298,11405.3,3747.65,18900.6,1.14053,0.374765,1.89006
2001,9062,11694.2,3381.55,18457.3,1.16942,0.338155,1.84573
1001,12124,11295.6,2207.15,15710,1.12956,0.220715,1.571
1,48868,10002.3,3.3,10008.9,1.00023,0.00033,1.00089

=== UR_PH ===
Blocks,CycleCount,AvgTPL,AvgTPU,Cost,TPL_per_n,TPU_per_n,Cost_per_n
9001,999,1014.15,999,3012.15,0.101415,0.0999,0.301215
8001,1999,2102.75,1999.55,6101.85,0.210275,0.199955,0.610185
7001,2999,3358.9,3009.95,9378.8,0.33589,0.300995,0.93788
6001,3999,4885.4,4063,13011.4,0.48854,0.4063,1.30114
5001,5000,7286.4,5443.1,18172.6,0.72864,0.54431,1.81726
4001,6043,10725.9,7220.55,25167,1.07259,0.722055,2.5167
3001,7298,12140.7,8026.05,28192.8,1.21407,0.802605,2.81928
2001,9062,12429.1,8592.45,29614,1.24291,0.859245,2.9614
1001,12124,11792,9194.45,30181,1.1792,0.919445,3.0181
1,48868,10002.8,9999,30000.8,1.00028,0.9999,3.00007
